,Name,lat,lang
0,Ameerpet,17.4375012,78.4482505
1,Begumpet,17.4440199,78.4624821
2,SR Nagar,17.4452312,78.4449117
3,Prakash Nagar,17.4883964,78.4220421
4,Punjagutta,17.426689,78.4524212
5,Balkampet,17.4469233,78.4504513
6,Sanathnagar,17.4569654,78.4434780636594
7,Bharat Nagar,17.3950455,78.517973
8,Erragadda,17.4487999,78.4356074
9,Borabanda,17.45167,78.415421
10,Moti Nagar,17.4508069,78.422242
11,Khairtabad,17.4114795,78.4615657
12,Somajiguda,17.4255053,78.4585197
13,Raj Bhavan Road,17.4232228,78.4602397
14,Lakdikapool,17.4110155,78.4609821
15,Saifabad,17.4047878,78.4658367
16,A.C. Guards,17.4028481,78.4693012
17,Masab Tank,17.4029622,78.450754
18,Chintal Basti,17.4096785,78.4570516
19,Musheerabad,17.4191423,78.4985732
20,Chikkadpally,17.400939,78.4976319
21,Himayatnagar,17.4041507,78.479872
22,Ashok Nagar,17.405826,78.4902601
23,Domalguda,17.4078455,78.4850003
24,Hyderguda,17.4012791,78.4804894
25,Ramnagar,17.4136041,78.5069181
26,Azamabad,17.4071166,78.5032906
27,Adikmet,17.4095495,78.5130943
28,Nallakunta,17.3975005,78.50557
29,Shanker Mutt,17.4007635,78.50734
30,RTC X Roads,17.4070321,78.4968023
31,Bagh Lingampally,17.3974359,78.4979706
32,Vidyanagar,17.4019354,78.5095814
33,Amberpet,17.3886002,78.5143557
34,Tilaknagar,,
35,Golnaka,,
36,Barkatpura,17.3926121,78.4969683
37,Shivam Road,,
38,Jamia Osmania,17.4102641,78.5180366
39,Kachiguda,17.3867056,78.4950359
40,Badichowdi,17.3883755,78.4877854
41,Nampally,17.3918524,78.4660052
42,Abids,17.3894783,78.477182
43,Aghapura,17.389178,78.4652731
44,Koti,17.3847309,78.4836642
45,Bank Street,17.3857267,78.4801137
46,Boggulkunta,,
47,Secunderabad,17.4337246,78.5006827
48,Chilkalguda,17.4315325,78.5071619
49,Kavadiguda,17.4227022,78.4917695
50,MG Road (James Street),,
51,Madannapet,17.3585578,78.4971064
52,Minister Road,17.4417267,78.4785978
53,Mylargadda,17.4222908,78.5169703
54,Namalagundu,,
55,Padmarao Nagar,17.4245923,78.5206308
56,Pan bazar,17.4344248,78.4897238
57,Parsigutta,17.4155855,78.5113023
58,Patny,17.4397016,78.4947847
59,Rani Gunj,,
60,RP Road,17.4404028,78.495426
61,Sindhi Colony,17.4412194,78.481048
62,Sitaphalmandi,17.4297326,78.5174265
63,Tarnaka,17.4285479,78.5379433
64,Warsiguda,,
65,Secunderabad Cantonment,,
66,Bowenpally,17.4755371,78.4792282
67,Karkhana,17.4732138,78.5115017
68,Marredpally,17.4507936,78.5048972
69,Sikh Village,17.4600978,78.4872869
70,Trimulgherry,17.4746717,78.5069513
71,Vikrampuri,17.4551989,78.5000903
72,Afzal Gunj,,
73,Aliabad,17.34563,78.4726799
74,Alijah Kotla,17.3605451,78.4801015
75,Asif Nagar,17.3846701,78.4382979
76,Azampura,17.3761935,78.490874
77,Barkas,17.3188282,78.4816034
78,Bazarghat,17.4027867,78.4604489
79,Begum Bazaar,17.3730788,78.4705549
80,Chaderghat,17.3820325,78.4925338
81,Chanchalguda,17.3673732,78.4965799
82,Chandrayan Gutta,17.323929,78.4798662
83,Chatta Bazaar,,
84,Dabirpura,17.3665277,78.4901244
85,Dar-ul-Shifa,17.3693959,78.4788189
86,Dhoolpet,17.3721615,78.4605351
87,Edi Bazar,,
88,Falaknuma,17.331841349999998,78.46584876502467
89,Karwan,17.3800823,78.437475
90,Malakpet,17.3736706,78.4996484
91,Moghalpura,17.3575281,78.4770839
92,Jahanuma,17.3433524,78.4614644
93,Laad Bazaar,,
94,Lal Darwaza,17.3463862,78.4774507
95,"Madina, Hyderabad",17.3916317,78.4496136
96,Maharajgunj,,
97,Mehboob ki Mehendi,,
98,Mir Alam Tank,17.3449642,78.4416561041759
99,Mozamjahi Market,,
100,Nawab Saheb Kunta,17.3397918,78.4578365
101,Nayapul,,
102,Noorkhan Bazar,,
103,Pisal Banda,,
104,Purana pul,17.3666789,78.4592941
105,Putlibowli,,
106,Rein Bazar,17.35787325,78.49155075261254
107,Shahran Market,,
108,Shah Ali Banda,,
109,Sultan Bazar,17.3870437,78.4869648
110,Udden Gadda,,
111,Uppuguda,17.340814,78.4841834
112,Yakutpura,17.3586277,78.4858046
113,HITEC City,17.4508058,78.3834535
114,Madhapur,17.4408924,78.3916304
115,Kondapur,17.4587912,78.3730556
116,Jubilee Hills,17.4308362,78.4102882
117,Banjara Hills,17.4177464,78.4399014
118,Film Nagar,17.4140574,78.4105031
119,Yousufguda,17.4387499,78.4279866
120,Srinagar colony,17.431231,78.4337951
121,Gachibowli,17.4454957,78.34854697544472
122,Raidurg,17.4141743,78.3907158
123,Khajaguda,17.4172202,78.3656108
124,Manikonda,17.39999505,78.3861689281263
125,Nanakramguda,17.4258278,78.3405519
126,Shaikpet Hyderabad,17.4057955,78.4006536
127,Serilingampally,17.4454957,78.34854697544472
128,Chanda Nagar,17.483293,78.3300281
129,Hafeezpet,17.4834027,78.3613099
130,Madeenaguda,,
131,Miyapur,17.4981608,78.3567628
132,Kukatpally,17.49306445,78.39140794729656
133,Allwyn Colony,17.5043618,78.4149849
134,Bachupally,17.5423902,78.3854429
135,KPHB,17.49306445,78.39140794729656
136,Nizampet,17.5083929,78.3854201
137,Pragathi Nagar,17.5200154,78.3968876
138,Moosapet,17.4685307,78.4206695
139,Mallampet,,
140,Patancheru,17.5286092,78.2674254
141,BHEL Township,17.4842051,78.2995091
142,RC Puram,17.5112359,78.2848875
143,Ameenpur,17.5010699,78.3177625
144,Beeramguda,17.5091218,78.3004614
145,Kistareddypet,17.5467403,78.2954405
146,IDA Bollaram,,
147,"Medical Devices Park, Hyderabad",,
148,Balanagar,17.4767464,78.4221082
149,Fateh Nagar,17.4581554,78.4513374
150,Ferozguda,17.4646179,78.4616333
151,Old Bowenpally,17.4719293,78.4924365
152,Hasmathpet,17.473415,78.4872297
153,Quthbullapur,17.5029283,78.4600049
154,Jeedimetla,17.5086643,78.4773123
155,Jagadgirigutta,17.5016722,78.4262025
156,Suraram,17.53609455,78.41863858658479
157,Pet Basheerabad,,
158,Kompally,17.5108381,78.4802274
159,Medchal,17.49306445,78.39140794729656
160,Kandlakoya,,
161,Alwal,17.5022292,78.5088584
162,Lothkunta,,
163,Old Alwal,17.5060381,78.5007272
164,Macha Bollaram,,
165,Venkatapuram,17.496189,78.5043108
166,Shamirpet,17.5737976,78.5646038
167,Malkajgiri,17.49306445,78.39140794729656
168,Anandbagh,,
169,Ammuguda,17.4967373,78.5391875
170,Gautham Nagar,17.3241186,78.5728346
171,Kakatiya Nagar,17.4785837,78.5406026
172,Vinayak Nagar,17.3502574,78.5638931
173,Moula-Ali,17.4668161,78.5592161
174,Neredmet,17.470446,78.5360054
175,Old Neredmet,17.4738936,78.5386343
176,Safilguda,,
177,Sainikpuri,17.4892154,78.5424889
178,Yapral,17.5030543,78.5407976
179,Kapra,17.4846356,78.5610095
180,A. S. Rao Nagar,17.4800996,78.5522193
181,ECIL 'X' Roads,,
182,Kamala Nagar,17.328264,78.5770152
183,Kushaiguda,17.4825451,78.5726444
184,Cherlapally,17.4687455,78.6024858
185,Keesara,,
186,Nagaram,17.49101125,78.61367702275567
187,Dammaiguda,,
188,Jawaharnagar,17.43775395,78.48454634925679
189,Rampally,17.46373655,78.64888494683254
190,Cheriyal,,
191,Uppal,17.4025091,78.5612562
192,Habsiguda,17.4154761,78.5426918
193,Ramanthapur,17.3852432,78.5273984
194,Boduppal,17.41906635,78.58173285613213
195,Nagole,17.37399515,78.55810936158971
196,Nacharam,17.4284936,78.5528098
197,Mallapur,17.4405369,78.5788551
198,Ghatkesar,,
199,Peerzadiguda,17.405751,78.5871698
200,Chengicherla,,
201,Pocharam,,
202,Narapally,,
203,Medipally,17.405751,78.5871698
204,Dilsukhnagar,17.3684307,78.5234283
205,Kothapet,17.3678627,78.5400571
206,Gaddiannaram,17.3636842,78.523971
207,Moosarambagh,17.3743532,78.5160835
208,L. B. Nagar,17.349846,78.5479412
209,Bairamalguda,17.3410616,78.5423473
210,Chintalakunta,,
211,Vanasthalipuram,17.3303179,78.568278
212,Hastinapuram,17.3291354,78.5542145
213,Saroornagar,17.3576492,78.5356325
214,Badangpet,17.3223752,78.5280344
215,Balapur,17.299985,78.44347376849637
216,Champapet,17.3445706,78.5169717
217,Jillelguda,17.3307561,78.5408455
218,Karmanghat,17.3410061,78.5329747
219,Lingojiguda,17.3478809,78.5364577
220,Meerpet,17.4546432,78.57154988099103
221,Sanghi Nagar,,
222,Santoshnagar,,
223,Hayathnagar,17.3281147,78.6045399
224,Ibrahim patnam,,
225,Mehdipatnam,17.3942627,78.4342514
226,Toli chowki,,
227,Gudimalkapur,17.3879203,78.4371165
228,Asif Nagar,17.3846701,78.4382979
229,Langar Houz,17.377629,78.4216315
230,Laxminagar Colony,,
231,Mallepally,17.3920728,78.4546129
232,Padmanabha Nagar Colony,17.3883845,78.4292503
233,Red Hills,17.3982921,78.4642498
234,Rajendranagar,17.299985,78.44347376849637
235,Attapur,17.3672244,78.4307278
236,Bandlaguda,17.3714879,78.5727265
237,Gandipet,17.4095838,78.3639131
238,Kismatpur,17.3367486,78.3840139
239,Narsingi,17.4095838,78.3639131
240,Puppalguda,17.4095838,78.3639131
241,Shamshabad,17.231163600000002,78.43178336758146
242,Rajiv Gandhi International Airport,17.231163600000002,78.43178336758146
243,Umdanagar,,
