,Images,Headlines,dates,news_urls,lat,lang
0,https://lh3.googleusercontent.com/proxy/bfKS48MhUX3OqBmMETmveJ-FTf0Xk_4KJXUbEl_fac3zH2CanC2nWIAXJjplo9ldQr_97XWHVD_60FowG5jmgSuQgwEwRKjIiBc1K2KPSCPDKW18SPk8m6fXK23GdzjMGg=s0-w100-h100-rw-dcDQKGJ5XjPWQC,Two thieves held for attention diversion crime in Hyderabad,2022-07-29T17:49:09Z,https://news.google.com/articles/CAIiEPYVBs-vxiDUrsAB5Eq_sUwqMwgEKioIACIQPSvIX7PQBUYB-7zcAplw6CoUCAoiED0ryF-z0AVGAfu83AKZcOgw_ILSBg?uo=CAUiVmh0dHBzOi8vdGVsYW5nYW5hdG9kYXkuY29tL3R3by10aGlldmVzLWhlbGQtZm9yLWF0dGVudGlvbi1kaXZlcnNpb24tY3JpbWUtaW4taHlkZXJhYmFk0gEA&hl=en-IN&gl=IN&ceid=IN%3Aen,,
1,https://lh3.googleusercontent.com/proxy/y8fgg6vcOM4pZLJ0P_odLvGhkEryysRlSL25y38KxFl3ZMdp-yYHTferomYFPgE6DFLiHjyINJRdr9Q6vwHEKgL9rZhaeUaV5mIV0p-Cp-55JU39F30uhpaEngZhu9S40g=s0-w100-h100-rw-dcASSC4x4H,Jubilee Hills gang rape videos made accused feel safe despite committing crime,2022-08-10T12:29:00Z,https://news.google.com/articles/CAIiEEJXJsq8-XPxCKufa-eSs1UqGQgEKhAIACoHCAow1_CFCzDqpIMDMI6PiQY?uo=CAUibmh0dHBzOi8vd3d3LnNpYXNhdC5jb20vanViaWxlZS1oaWxscy1nYW5nLXJhcGUtdmlkZW9zLW1hZGUtYWNjdXNlZC1mZWVsLXNhZmUtZGVzcGl0ZS1jb21taXR0aW5nLWNyaW1lLTIzODcxNDcv0gEA&hl=en-IN&gl=IN&ceid=IN%3Aen,17.4308362,78.4102882
2,https://lh3.googleusercontent.com/proxy/iBE-2K5OgvZBNhh9Z6p6tc6-MhJuDyOYdLNobDAacIUbLVXE8FPvW88vn8V8fW7LRQfwrEpxSRzoPDY-yi_lwD3A8MU2fLyZcdAk8mXViELe0_AqGedQnuJuT2Pcg8j8G3NC=s0-w100-h100-rw-dcHWSMjKkG,Burglary gang led by minor held in Hyderabad,2022-08-13T14:20:42Z,https://news.google.com/articles/CAIiECPKv1HN3xMBpfBOHxx1MzMqMwgEKioIACIQPSvIX7PQBUYB-7zcAplw6CoUCAoiED0ryF-z0AVGAfu83AKZcOgw-4LSBg?uo=CAUiR2h0dHBzOi8vdGVsYW5nYW5hdG9kYXkuY29tL2J1cmdsYXJ5LWdhbmctbGVkLWJ5LW1pbm9yLWhlbGQtaW4taHlkZXJhYmFk0gEA&hl=en-IN&gl=IN&ceid=IN%3Aen,17.3281147,78.6045399
3,,Hyderabad: Canara Bank duped of Rs 2.71 cr by fake companies,2022-08-13T07:09:00Z,https://news.google.com/articles/CBMiW2h0dHBzOi8vd3d3LnNpYXNhdC5jb20vaHlkZXJhYmFkLWNhbmFyYS1iYW5rLWR1cGVkLW9mLXJzLTItNzEtY3ItYnktZmFrZS1jb21wYW5pZXMtMjM4OTIzOS_SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen,17.4767464,78.4221082
4,https://lh3.googleusercontent.com/proxy/Nn8CnIWgXAUR-sxhW0QmSW6wrwxBMzQssmdUBHlp1SfchnL878Kf5sodjVizuaWtAX4cOqXqVpSVNb2r1N-HEdQQEEWcu9jOzM_7R8LRGAUeMILs9_3Opg=s0-w100-h100-rw-dcKTWQrqEI,"Hyderabad: Table Tennis player Naina Jaiswal harassed online, case registered",2022-08-12T12:20:22Z,https://news.google.com/articles/CAIiEPkdM6N8DK52d5yI3J2BVHcqGQgEKhAIACoHCAowiq-lCzDNub0DMKjumgc?uo=CAUifGh0dHBzOi8vd3d3Lm5ld3M5bGl2ZS5jb20vc3RhdGUvdGVsYW5nYW5hL2h5ZGVyYWJhZC10YWJsZS10ZW5uaXMtcGxheWVyLW5haW5hLWphaXN3YWwtaGFyYXNzZWQtb25saW5lLWNhc2UtcmVnaXN0ZXJlZC0xODg5NzLSAQA&hl=en-IN&gl=IN&ceid=IN%3Aen,,
5,https://lh3.googleusercontent.com/proxy/Qg3c7_xj8x2t4DXU8OwYI1_kShgmfepIxE4yFxrbhyC6MDC1hAPZAL36eHFsMspCC7PMkWvjHSu3wMbvJNbuy47Pt7xRbUtcsKK16mizZsptpcSOhAAOO1ktQDQdPP8JgNdPkMTpOFSvom1aS3CNGhT_ueVg6ptMrFSvhHc=s0-w100-h100-rw-dcAQCGywUL,Hyderabad ACP Prasad shares tips on how not to fall prey to cybercriminals,2022-07-25T07:00:00Z,https://news.google.com/articles/CBMilQFodHRwczovL3d3dy5uZXdpbmRpYW5leHByZXNzLmNvbS9jaXRpZXMvaHlkZXJhYmFkLzIwMjIvanVsLzI1L2h5ZGVyYWJhZC1hY3AtcHJhc2FkLXNoYXJlcy10aXBzLW9uLWhvdy1ub3QtdG8tZmFsbC1wcmV5LXRvLWN5YmVyY3JpbWluYWxzLTI0ODAzMTUuaHRtbNIBlAFodHRwczovL3d3dy5uZXdpbmRpYW5leHByZXNzLmNvbS9jaXRpZXMvaHlkZXJhYmFkLzIwMjIvanVsLzI1L2h5ZGVyYWJhZC1hY3AtcHJhc2FkLXNoYXJlcy10aXBzLW9uLWhvdy1ub3QtdG8tZmFsbC1wcmV5LXRvLWN5YmVyY3JpbWluYWxzLTI0ODAzMTUuYW1w?hl=en-IN&gl=IN&ceid=IN%3Aen,,
6,,Hyderabad: Is Jubilee Hills gang rape case accused preparing to move abroad?,2022-08-05T07:00:00Z,https://news.google.com/articles/CBMiamh0dHBzOi8vd3d3LnNpYXNhdC5jb20vaHlkZXJhYmFkLWlzLWp1YmlsZWUtaGlsbHMtZ2FuZy1yYXBlLWNhc2UtYWNjdXNlZC1wcmVwYXJpbmctdG8tbW92ZS1hYnJvYWQtMjM4MzYxMC_SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen,17.4308362,78.4102882
7,https://lh3.googleusercontent.com/proxy/zdPooHZKDBxB03qiT9TGx3KtpvHmZIq2komENR-ByFzfPiFM2up9Qq9lWoAYRS2caDzWzaEcfbo7XXPOs9vzRX65290pb_U3wEiZbEWS5J_JRMCS2UEL-VtTghScMgIFav2unHyCsbtaouGd-AIa9S_qlrrzFqLfkDcdOFQAewKjcC1ddbIDRCUmoo-u8ySSexsuXV7QSD9ESaEZgdNZWw=s0-w100-h100-rw-dcDSGKzR0J,Hyderabad teen gang-rape case: 4 minors granted bail,2022-07-27T07:00:00Z,https://news.google.com/articles/CBMiZWh0dHBzOi8vd3d3LmluZGlhdG9kYXkuaW4vY3JpbWUvc3RvcnkvaHlkZXJhYmFkLXRlZW4tZ2FuZy1yYXBlLW1pbm9ycy1ncmFudGVkLWJhaWwtMTk4MDUyOS0yMDIyLTA3LTI30gFpaHR0cHM6Ly93d3cuaW5kaWF0b2RheS5pbi9hbXAvY3JpbWUvc3RvcnkvaHlkZXJhYmFkLXRlZW4tZ2FuZy1yYXBlLW1pbm9ycy1ncmFudGVkLWJhaWwtMTk4MDUyOS0yMDIyLTA3LTI3?hl=en-IN&gl=IN&ceid=IN%3Aen,,
8,https://lh3.googleusercontent.com/proxy/t4OC8so9ntgen7twrCgb-28esh5dleB_njJU1kr64YklYX4a9hTCpqvT56mvqGneDo_QWxv08_JgpHjfRlWTpdt-kA2OAvpzIhBLWv21gI1vWYp7BW4YUccq0dHF6Rad3c1TUPU1y9bRINbe3AzdAT3HbupEbg=s0-w100-h100-rw-dcnQWgC4oL,Hyderabad: Police warn public against cybercrimes in the city,2022-07-21T10:34:13Z,https://news.google.com/articles/CAIiEIaLlIhPJiFhnPclKA8QJGQqGQgEKhAIACoHCAow1_CFCzDqpIMDMI6PiQY?uo=CAUiXGh0dHBzOi8vd3d3LnNpYXNhdC5jb20vaHlkZXJhYmFkLXBvbGljZS13YXJuLXB1YmxpYy1hZ2FpbnN0LWN5YmVyY3JpbWVzLWluLXRoZS1jaXR5LTIzNzQzMTQv0gEA&hl=en-IN&gl=IN&ceid=IN%3Aen,,
9,https://lh3.googleusercontent.com/proxy/ScpWy4apGLKmSw_mX7kd38tui7zn72zC6X_CZalsVhvQHzy68YgSBQK3GSOQ3neMNjPE-tElsu6DzqM_gh81zytsuREo4ZN4TOImMOFhw_s-wg=s0-w100-h100-rw-dcvaGK9DwF,Hyderabad: Man sentenced to 20 years of rigorous imprisonment for sexually assaulting minor,2022-08-12T04:25:55Z,https://news.google.com/articles/CAIiELH9M3KVxVW2DCtQw8aAICcqGAgEKg8IACoHCAow3rvTBDD89X4w8YzmBQ?uo=CAUic2h0dHBzOi8vaW5kaWFuZXhwcmVzcy5jb20vYXJ0aWNsZS9jaXRpZXMvaHlkZXJhYmFkL2h5ZGVyYWJhZC1tYW4tMjAteWVhcnMtcmlnb3JvdXMtaW1wcmlzb25tZW50LW1pbm9yLXJhcGUtODA4NTY3Ni_SAQA&hl=en-IN&gl=IN&ceid=IN%3Aen,17.49306445,78.39140794729656
